ID	adj.P.Val	P.Value	t	B	logFC	ORF
5225	3.15e-10	5.45e-14	-111.671685	21.94614	-3.9677546	YOL052C-A
2450	4.35e-10	1.50e-13	-98.273642	21.26932	-3.7230123	YGR248W
2244	3.25e-09	2.77e-12	-68.088233	18.96557	-2.4905652	YGR043C
4669	3.25e-09	2.86e-12	-67.818655	18.93809	-3.0689453	YMR250W
4515	3.25e-09	2.91e-12	-67.656154	18.92145	-3.2066619	YMR105C
5106	3.25e-09	3.37e-12	-66.418745	18.79284	-2.449353	YNR014W
2289	4.58e-09	5.54e-12	-62.390021	18.34938	-2.7621337	YGR088W
4403	4.79e-09	7.28e-12	-60.288253	18.10184	-3.0701594	YML128C
355	4.79e-09	7.45e-12	-60.109208	18.08021	-2.5508515	YBR126C
2253	6.32e-09	1.30e-11	-56.02447	17.56167	-2.2511236	YGR052W
1764	6.32e-09	1.34e-11	-55.819809	17.53436	-3.0000388	YER150W
4616	6.32e-09	1.42e-11	-55.411089	17.47944	-2.0921873	YMR196W
4447	6.32e-09	1.46e-11	-55.206277	17.45172	-2.1640058	YMR037C
297	6.32e-09	1.57e-11	-54.69575	17.38202	-2.9959284	YBR072W
4046	6.32e-09	1.64e-11	-54.422113	17.34431	-2.2796151	YLR251W
346	6.94e-09	2.08e-11	-52.806467	17.1165	-3.4130231	YBR117C
4373	6.94e-09	2.08e-11	-52.805529	17.11637	-3.100773	YML100W
4585	6.94e-09	2.16e-11	-52.554285	17.08013	-3.6013267	YMR169C
62	6.94e-09	2.28e-11	-52.210661	17.0302	-2.7630308	YAL061W
1671	8.01e-09	2.77e-11	-50.942584	16.84225	-1.9248597	YER062C
2643	1.16e-08	4.20e-11	-48.32982	16.43557	-2.1625129	YHR087W
4947	1.29e-08	4.99e-11	-47.286018	16.26533	-2.9549527	YNL194C
3433	1.29e-08	5.19e-11	47.060184	16.22788	1.7043895	YKL043W
2881	1.29e-08	5.35e-11	-46.878117	16.19752	-1.99171	YIL101C
1509	1.46e-08	6.29e-11	-45.930963	16.03724	-2.0816899	YDR536W
833	1.52e-08	6.83e-11	-45.451358	15.95453	-1.735225	YDL124W
5756	1.75e-08	8.38e-11	-44.296091	15.75083	-1.6808617	YPL017C
917	1.75e-08	8.47e-11	-44.235096	15.7399	-3.6717455	YDL204W
5987	1.90e-08	9.72e-11	-43.47435	15.60199	-1.8502323	YPL247C
1893	1.90e-08	9.99e-11	-43.322746	15.57416	-2.1717646	YFR017C
999	1.90e-08	1.05e-10	-43.069091	15.52733	-2.1385417	YDR034W-B
6212	1.90e-08	1.05e-10	-43.062216	15.52606	-2.2654251	YPR184W
3544	2.21e-08	1.30e-10	-41.895709	15.30633	-2.4829656	YKL151C
399	2.21e-08	1.30e-10	-41.889797	15.30519	-1.442483	YBR169C
4948	2.21e-08	1.41e-10	-41.471446	15.2246	-2.448894	YNL195C
2458	2.21e-08	1.42e-10	-41.439237	15.21835	-2.239184	YGR256W
2940	2.21e-08	1.48e-10	-41.234949	15.17861	-1.5993337	YIL160C
3425	2.21e-08	1.49e-10	-41.198864	15.17156	-2.3184055	YKL035W
3543	2.21e-08	1.49e-10	-41.188841	15.1696	-1.5628606	YKL150W
4500	2.21e-08	1.52e-10	-41.070717	15.14648	-2.3558585	YMR090W
5516	2.28e-08	1.61e-10	-40.77836	15.08893	-2.9241671	YOR173W
2520	2.81e-08	2.06e-10	-39.543705	14.84038	-2.647058	YHL021C
1039	2.81e-08	2.09e-10	-39.460178	14.82324	-2.4183123	YDR074W
2585	2.81e-08	2.13e-10	-39.361475	14.80293	-1.4537195	YHR033W
964	2.95e-08	2.30e-10	-38.985144	14.72494	-1.7888632	YDR001C
5614	2.95e-08	2.35e-10	-38.892273	14.70556	-1.4113131	YOR273C
2916	3.02e-08	2.45e-10	-38.671242	14.65921	-2.231798	YIL136W
4047	3.04e-08	2.52e-10	-38.539382	14.63142	-2.2510373	YLR252W
2652	3.43e-08	2.95e-10	-37.783434	14.46992	-3.0145662	YHR096C
4053	3.43e-08	3.00e-10	-37.703112	14.45254	-1.724413	YLR258W
345	3.43e-08	3.07e-10	-37.592698	14.42858	-3.6209711	YBR116C
5257	3.43e-08	3.11e-10	-37.537871	14.41666	-2.6104164	YOL084W
3167	3.43e-08	3.14e-10	-37.49014	14.40626	-1.3033192	YJL164C
3991	3.44e-08	3.21e-10	37.377666	14.38169	1.4002184	YLR196W
413	3.53e-08	3.41e-10	-37.10005	14.32068	-1.886098	YBR183W
3397	3.53e-08	3.50e-10	36.977589	14.29361	1.4447083	YKL009W
3150	3.53e-08	3.52e-10	36.943199	14.28599	1.4009154	YJL148W
1932	3.53e-08	3.54e-10	-36.92218	14.28132	-2.7857171	YFR053C
5249	3.69e-08	3.76e-10	36.638189	14.21803	1.5198058	YOL077C
2396	3.77e-08	3.91e-10	-36.459097	14.17782	-1.3852804	YGR194C
5652	3.91e-08	4.18e-10	36.151212	14.10817	1.4242607	YOR309C
311	3.91e-08	4.19e-10	-36.144348	14.10661	-1.8525909	YBR085C-A
6188	4.22e-08	4.60e-10	-35.720476	14.00959	-2.6676868	YPR160W
1506	4.27e-08	4.73e-10	-35.596455	13.98095	-1.5335791	YDR533C
1363	4.27e-08	4.80e-10	-35.528295	13.96517	-1.4586268	YDR391C
4912	4.33e-08	4.94e-10	-35.3947	13.93413	-2.1915568	YNL160W
1659	4.33e-08	5.01e-10	-35.334586	13.92012	-2.1954299	YER053C
1973	4.36e-08	5.12e-10	-35.236405	13.89717	-2.2918582	YGL037C
172	4.53e-08	5.53e-10	-34.896714	13.81724	-1.5180166	YBL064C
1661	4.53e-08	5.54e-10	-34.885412	13.81457	-1.93877	YER054C
4845	4.53e-08	5.55e-10	-34.878101	13.81284	-1.7121077	YNL093W
3943	4.95e-08	6.21e-10	-34.388375	13.69597	-1.9032666	YLR149C
4458	4.95e-08	6.25e-10	34.361255	13.68944	1.2983487	YMR049C
859	5.04e-08	6.45e-10	34.224198	13.65637	1.3175499	YDL148C
5962	5.07e-08	6.64e-10	-34.097551	13.62567	-1.3970047	YPL222W
378	5.07e-08	6.65e-10	-34.088358	13.62344	-1.3789638	YBR149W
4322	5.34e-08	7.25e-10	-33.720883	13.53363	-2.4435594	YML054C
3973	5.34e-08	7.34e-10	-33.667796	13.52056	-2.5382861	YLR178C
24	5.34e-08	7.35e-10	33.660976	13.51888	1.4008916	YAL025C
4599	5.34e-08	7.39e-10	-33.640448	13.51382	-1.4153369	YMR181C
570	5.97e-08	8.35e-10	-33.122754	13.38507	-2.6835956	YCL040W
3484	6.82e-08	9.67e-10	-32.513288	13.2306	-1.681061	YKL093W
4754	6.83e-08	9.83e-10	32.445849	13.21331	1.7406142	YNL002C
4109	6.83e-08	9.92e-10	-32.409319	13.20392	-1.5362762	YLR312C
4340	6.86e-08	1.02e-09	-32.289506	13.17307	-1.8410607	YML070W
5027	6.86e-08	1.03e-09	-32.26518	13.16679	-1.927379	YNL274C
5865	6.86e-08	1.03e-09	32.247376	13.16219	1.2921606	YPL126W
4072	6.98e-08	1.06e-09	32.13296	13.13256	1.3984351	YLR276C
4000	7.76e-08	1.21e-09	-31.592487	12.99101	-1.2005664	YLR205C
2107	7.76e-08	1.22e-09	31.585009	12.98904	1.3776896	YGL171W
3495	7.76e-08	1.23e-09	-31.536701	12.97625	-1.3270376	YKL103C
5630	7.76e-08	1.23e-09	-31.526805	12.97363	-1.4531196	YOR289W
2893	7.93e-08	1.27e-09	-31.397021	12.93916	-1.7496453	YIL113W
5549	7.94e-08	1.29e-09	31.34054	12.92411	1.4779777	YOR206W
3482	7.94e-08	1.30e-09	-31.309077	12.91572	-1.5990335	YKL091C
4066	7.97e-08	1.32e-09	-31.25228	12.90054	-1.5506805	YLR270W
4271	8.07e-08	1.35e-09	-31.161515	12.87622	-1.7577423	YML004C
3992	8.18e-08	1.38e-09	31.066367	12.85064	1.2647483	YLR197W
3144	8.25e-08	1.41e-09	-30.993106	12.83088	-1.3598337	YJL142C
3503	8.27e-08	1.43e-09	30.942843	12.8173	1.2428392	YKL110C
4016	8.80e-08	1.54e-09	30.661478	12.74082	1.0826603	YLR221C
3072	8.90e-08	1.57e-09	30.581727	12.719	1.1831236	YJL069C
3700	8.91e-08	1.59e-09	30.536718	12.70666	1.4177709	YKR081C
110	9.39e-08	1.69e-09	30.299882	12.6414	1.1702084	YBL004W
4517	9.60e-08	1.75e-09	-30.158985	12.6023	-2.6397104	YMR107W
3537	9.60e-08	1.76e-09	30.14226	12.59765	1.0721157	YKL144C
1677	9.78e-08	1.81e-09	-30.035656	12.56792	-2.2961229	YER067W
5684	9.82e-08	1.84e-09	29.958111	12.54622	1.4467775	YOR340C
6035	9.82e-08	1.85e-09	29.947164	12.54315	1.2848475	YPR010C
2057	9.89e-08	1.88e-09	-29.884727	12.52563	-1.1776509	YGL121C
5438	1.00e-07	1.92e-09	29.80721	12.50382	1.3397134	YOR095C
3802	1.01e-07	1.95e-09	29.757169	12.48971	1.3113018	YLR009W
5298	1.05e-07	2.04e-09	29.571121	12.43702	1.5477676	YOL124C
1035	1.08e-07	2.14e-09	-29.406891	12.39021	-2.5658521	YDR070C
936	1.08e-07	2.15e-09	-29.384103	12.38369	-2.4337709	YDL223C
2876	1.12e-07	2.26e-09	29.195631	12.32957	1.1770705	YIL096C
5094	1.12e-07	2.27e-09	-29.175226	12.32369	-1.7343712	YNR002C
1266	1.17e-07	2.38e-09	29.01095	12.27617	1.4309603	YDR299W
3970	1.21e-07	2.51e-09	28.812059	12.21825	1.1385429	YLR175W
3339	1.21e-07	2.53e-09	-28.781143	12.20921	-1.6789243	YJR115W
4970	1.21e-07	2.53e-09	28.780188	12.20893	1.2873258	YNL217W
864	1.22e-07	2.62e-09	28.65094	12.17101	1.0788741	YDL153C
